#FamilyID	pvalue	Significant at 0.05
OG0003273	0.025	y
OG0003361	0.025	y
OG0003367	0.025	y
OG0003423	0.036	y
OG0003514	0.025	y
OG0003539	0.025	y
OG0003706	0.025	y
OG0003831	0.025	y
OG0003886	0.025	y
OG0003927	0.025	y
OG0003973	0.025	y
OG0003982	0.025	y
OG0003983	0.025	y
OG0004147	0.036	y
OG0004153	0.008	y
OG0004223	0.025	y
OG0004224	0.007	y
OG0004301	0.025	y
OG0004309	0.025	y
OG0004375	0.048	y
OG0004383	0.025	y
OG0004470	0.025	y
OG0004495	0.025	y
OG0004500	0.025	y
OG0004517	0.025	y
OG0004520	0.025	y
OG0004521	0.025	y
OG0004523	0.025	y
OG0004527	0.025	y
OG0004530	0.025	y
OG0004531	0.025	y
OG0004537	0.008	y
OG0004547	0.025	y
OG0004638	0.025	y
OG0004642	0.008	y
OG0004648	0.025	y
OG0004668	0.008	y
OG0004677	0.008	y
OG0004679	0.025	y
OG0004700	0.008	y
OG0004738	0.008	y
OG0004798	0.025	y
OG0004814	0.008	y
OG0004870	0.025	y
OG0004883	0.025	y
OG0004898	0.008	y
OG0004914	0.025	y
OG0004917	0.025	y
OG0004943	0.008	y
OG0004970	0.025	y
OG0004999	0.048	y
OG0005028	0.025	y
OG0005039	0.025	y
OG0005081	0.025	y
OG0005094	0.007	y
OG0005108	0.025	y
OG0005172	0.025	y
OG0005205	0.025	y
OG0005206	0.025	y
OG0005269	0.025	y
OG0005281	0.025	y
OG0005316	0.025	y
OG0005378	0.025	y
OG0005410	0.025	y
OG0005423	0.025	y
OG0005467	0.025	y
OG0005504	0.025	y
OG0005510	0.025	y
OG0005579	0.036	y
OG0005592	0.025	y
OG0005603	0.025	y
OG0005614	0.036	y
OG0005615	0.025	y
OG0005641	0.025	y
OG0005643	0.025	y
OG0005644	0.025	y
OG0005646	0.025	y
OG0005650	0.025	y
OG0005651	0.025	y
OG0005653	0.025	y
OG0005655	0.025	y
OG0005657	0.025	y
OG0005659	0.025	y
OG0005689	0.025	y
OG0005817	0.025	y
OG0005838	0.025	y
OG0005883	0.025	y
OG0006265	0.008	y
OG0006396	0.025	y
OG0006513	0.025	y
OG0006615	0.025	y
OG0006686	0.025	y
OG0006690	0.025	y
OG0006749	0.025	y
OG0007001	0.025	y
OG0007121	0.008	y
OG0007189	0	y
OG0007246	0.036	y
OG0007247	0.008	y
OG0007398	0	y
OG0007400	0.007	y
OG0007413	0.036	y
OG0007415	0.036	y
OG0007448	0	y
OG0007633	0.002	y
OG0008104	0.017	y
OG0008530	0.017	y
OG0008901	0.008	y
OG0009519	0.017	y
OG0009537	0	y
OG0009714	0.033	y
OG0009718	0.033	y
OG0009723	0.033	y
OG0009724	0.033	y
OG0009725	0.033	y
OG0009736	0.033	y
OG0009784	0.033	y
OG0009785	0.033	y
OG0009791	0.033	y
OG0009833	0.033	y
OG0009839	0.033	y
OG0009856	0.033	y
OG0009870	0.033	y
OG0009873	0.033	y
OG0009881	0.033	y
OG0009892	0.008	y
OG0009922	0.033	y
OG0009939	0.008	y
OG0010027	0.033	y
OG0010033	0.033	y
OG0010049	0.033	y
OG0010066	0.033	y
OG0010067	0.033	y
OG0010073	0.033	y
OG0010079	0.033	y
OG0010082	0.033	y
OG0010084	0.033	y
OG0010095	0.033	y
OG0010102	0.033	y
OG0010112	0.036	y
OG0010113	0.036	y
OG0010121	0.033	y
OG0010122	0.033	y
OG0010124	0.033	y
OG0010125	0.033	y
OG0010196	0.033	y
OG0010231	0.033	y
OG0010270	0.033	y
OG0010340	0.033	y
OG0010343	0	y
OG0010352	0.033	y
OG0010358	0.033	y
OG0010366	0.033	y
OG0010372	0	y
OG0010374	0.033	y
OG0010375	0.033	y
OG0010377	0.033	y
OG0010385	0.033	y
OG0010394	0.004	y
OG0010396	0.033	y
OG0010407	0.033	y
OG0010431	0.033	y
OG0010433	0.033	y
OG0010434	0.033	y
OG0010438	0.033	y
OG0010439	0.033	y
OG0010440	0.033	y
OG0010442	0.033	y
OG0010448	0.033	y
OG0010457	0.033	y
OG0010460	0.033	y
OG0010462	0.033	y
OG0010463	0.033	y
OG0010466	0.033	y
OG0010468	0.004	y
OG0010469	0.033	y
OG0010470	0.033	y
OG0010479	0.033	y
OG0010480	0.033	y
OG0011155	0.006	y
OG0011198	0.006	y
OG0011214	0.006	y
OG0011215	0.006	y
OG0011228	0.006	y
OG0011237	0.006	y
OG0011241	0.006	y
OG0011287	0.006	y
OG0011288	0.006	y
OG0011296	0.006	y
OG0011297	0.006	y
OG0011308	0.006	y
OG0011334	0.006	y
OG0011343	0.006	y
OG0011350	0.006	y
OG0011381	0.006	y
